Impactor,Impactee,value
Price_MAZDA_CX-5_2.5_MAXX_AUTO_4WD,WOI_Subaru_Overall,0.176653639
Retail_National_National_Subscription_TV_TV1,WOI_Subaru_Overall,0.176605298
Forester_(GL_10535001)_National_National_Subscription_TV_National_Geographic_Adventure,WOI_Subaru_Overall,0.175657444
Subaru_Forester_SUV_XT_AWD_2_5L_5Dr_Petrol_M5_Demonstrator_No_of_Offers_Make_Model_Grade,WOI_Subaru_Overall,0.175605117
Retail_National_Total,WOI_Subaru_Overall,0.175472868
Forester_(GL_10535001)_Perth_Western_Region_Television_7TWO_Perth,WOI_Subaru_Overall,0.174505994
Liberty_(GL_10535005)_Sthn_NSW_Eastern_Region_Television_WIN_TV_Southern_NSW_(9),WOI_Subaru_Overall,0.174247314
Eyesight_GL_10535005_6_National_National_Subscription_TV_SF,WOI_Subaru_Overall,0.173891758
Eyesight_GL_10535005_6_National_National_Subscription_TV_Discovery_Channel,WOI_Subaru_Overall,0.17324123
Forester_(GL_10535001)_National_National_Subscription_TV_TV1,WOI_Subaru_Overall,0.17242629
Eyesight_GL_10535005_6_National_National_Newspaper_Aust_Financial_Review,WOI_Subaru_Overall,0.172146334
Forester_(GL_10535001)_Sthn_NSW_Southern_Region_Television_SBS_Sthn_NSW,WOI_Subaru_Overall,0.171906496
Eyesight_GL_10535005_6_Sydney_Sydney_Television_Eleven_SYD,WOI_Subaru_Overall,0.17138095
Retail_Adelaide_Southern_Region_Television_SAS7,WOI_Subaru_Overall,0.171336412
Retail_National_National_Subscription_TV_111_Hits,WOI_Subaru_Overall,0.170893164
Sydney_City_Subaru_1112_A_Sydney_Overall_NPS,WOI_Subaru_Overall,0.17085751
Price_NISSAN_X-TRAIL_2.5_ST-L_CVT_4WD,WOI_Subaru_Overall,0.170852392
Forester_(GL_10535001)_Sydney_Total,WOI_Subaru_Overall,0.170545188
